facing,furnishingDesc,gym,isMaintenance,lift,maintenanceAmount,parking,property_size,rent_amount,swimmingPool,type_bhk,waterSupply,property_age,Balcony,Bathroom,floor/totalFloor,locality
6,2,True,True,True,12,3,17,16000,False,4,4,3,5,3,9,24
10,1,False,True,False,5,3,7,9000,False,3,4,3,2,2,4,10
6,2,False,True,True,21,3,12,32500,False,3,4,2,4,2,21,10
3,2,True,True,True,30,3,15,33000,True,4,4,2,5,3,26,26
3,2,False,True,False,12,3,17,21000,False,4,3,2,1,3,2,10
5,1,False,False,True,8,2,9,14000,False,3,4,2,4,2,26,23
3,2,False,True,False,9,3,9,14500,False,3,4,2,2,2,15,9
3,2,False,False,True,8,2,7,10000,False,2,4,2,2,1,4,14
6,3,False,False,False,8,3,11,20000,False,3,4,2,4,2,6,22
3,2,False,True,True,21,3,11,21000,False,3,4,1,2,2,24,10
3,2,False,True,True,23,3,16,23000,False,4,4,2,4,3,20,24
10,2,False,True,False,21,3,11,18000,False,3,4,1,2,2,6,16
6,2,False,True,False,7,4,17,20000,False,3,4,1,2,2,7,10
6,2,False,True,False,7,4,17,20000,False,3,4,1,2,2,7,10
10,2,False,True,True,15,3,15,20000,False,4,4,2,4,2,22,10
1,3,False,True,False,12,2,10,19000,False,3,4,1,2,2,15,10
6,1,False,True,True,12,3,9,10000,False,3,4,3,1,2,19,10
6,1,False,True,True,5,3,16,16000,False,4,4,3,5,3,6,21
3,3,False,True,False,12,3,14,20000,False,3,4,2,1,2,2,10
6,1,False,True,True,21,3,10,15000,False,3,4,2,2,2,20,16
6,3,False,True,True,27,3,19,38000,False,4,4,1,4,3,19,10
10,2,False,True,True,16,3,12,16000,False,3,4,2,2,2,13,12
7,2,False,True,True,27,3,18,33000,False,4,4,2,4,3,22,10
6,2,False,True,True,12,3,16,18000,False,4,3,2,4,3,15,18
6,2,False,True,True,12,3,16,18000,False,4,3,2,4,3,15,18
10,2,False,True,True,21,3,15,27000,False,4,4,2,2,2,19,26
8,2,False,True,True,21,3,12,20000,False,3,4,3,4,2,15,21
3,2,False,True,True,21,3,12,18000,False,4,4,3,2,2,19,16
7,2,False,True,True,21,3,13,16000,False,4,3,3,2,2,25,10
7,3,False,True,True,21,4,12,30000,False,3,4,1,2,2,19,26
6,2,False,True,True,21,3,13,16000,False,4,4,1,2,2,22,10
10,2,False,True,True,23,3,11,18000,False,3,4,2,4,2,15,16
6,3,False,True,True,16,3,12,20000,False,3,4,1,4,2,15,10
10,1,False,True,True,15,3,8,19000,False,3,4,1,2,2,22,10
10,1,False,False,False,8,3,7,9500,False,2,4,3,2,1,4,14
6,1,False,False,True,8,3,15,30000,False,4,2,1,5,2,16,28
6,1,False,False,True,8,3,15,30000,False,4,2,1,5,2,16,28
6,2,False,True,True,12,3,11,16000,False,3,4,3,4,2,8,4
6,2,False,True,True,21,3,12,22000,False,3,4,3,4,2,19,27
6,2,False,True,True,16,3,16,15000,False,4,4,2,2,3,21,10
7,2,False,True,True,16,3,15,22000,False,4,4,2,2,3,15,24
10,2,True,True,True,21,3,12,22000,True,3,2,2,4,2,22,26
7,2,False,True,True,16,3,11,17999,False,3,4,3,4,2,22,10
6,2,False,True,True,27,3,16,19000,False,4,4,2,2,3,20,10
3,2,False,False,True,8,3,12,19000,False,4,4,2,2,2,10,5
3,2,False,False,True,8,3,12,19000,False,4,4,2,2,2,10,5
1,2,False,True,True,16,3,11,18000,False,3,4,3,1,2,22,10
6,2,False,True,False,16,3,11,13000,False,3,4,1,4,2,10,10
1,2,False,False,False,8,2,7,11000,False,3,1,2,2,1,8,7
6,1,False,False,False,8,2,10,12000,False,3,4,1,2,2,7,8
1,2,False,False,False,8,3,9,10000,False,3,2,1,2,2,8,10
7,2,False,True,True,21,3,19,18000,False,4,4,1,2,3,22,20
7,1,False,False,False,8,2,11,12500,False,3,4,1,2,2,6,10
6,2,False,True,True,21,3,19,28000,False,4,4,2,2,3,22,26
6,2,False,True,True,21,3,19,28000,False,4,4,2,2,3,22,26
9,3,False,True,True,15,2,15,30000,False,3,4,3,4,2,12,10
6,2,True,True,True,21,3,17,20000,True,4,3,3,2,3,2,10
6,2,False,True,True,27,1,12,15000,False,3,4,1,4,2,21,7
6,3,False,True,True,16,3,16,40000,False,4,4,1,4,3,24,10
6,2,False,False,True,8,3,16,20000,False,3,3,2,4,2,15,10
10,2,False,False,True,8,4,15,20000,False,4,4,3,4,3,21,7
6,2,False,True,True,21,3,12,25000,False,3,2,2,4,2,24,26
6,2,False,False,True,8,3,12,25000,False,3,2,3,5,2,24,26
6,2,False,True,False,5,2,11,18500,False,3,4,2,1,2,9,26
7,2,False,True,False,21,3,10,18000,False,3,1,1,1,2,10,27
6,2,False,True,False,16,3,14,27000,False,4,4,2,4,2,15,27
4,1,False,True,True,12,3,9,13000,False,3,4,2,4,2,6,23
4,1,False,True,True,12,3,9,13000,False,3,4,2,4,2,6,23
6,1,False,False,False,8,2,9,10000,False,3,4,2,2,2,8,10
3,2,False,True,True,12,3,14,20000,True,4,3,3,4,2,20,14
7,1,False,False,False,8,3,17,11000,False,3,4,2,4,2,2,10
6,2,False,True,True,12,3,12,9000,False,3,4,3,4,2,19,10
6,2,False,True,True,15,3,11,15000,False,3,3,2,4,2,13,10
3,2,False,True,True,21,3,14,25000,False,4,4,2,4,3,6,27
6,1,False,True,False,5,2,13,9000,False,3,4,2,4,2,7,4
6,2,True,True,True,22,3,16,22000,True,4,4,2,4,2,24,25
3,1,False,False,True,8,3,15,18000,False,4,4,1,2,3,24,25
3,1,False,False,True,8,3,15,18000,False,4,4,1,2,3,24,25
3,2,False,True,True,21,3,11,23000,False,3,4,2,2,2,19,10
6,2,False,True,True,12,3,9,12000,False,3,3,3,2,2,21,24
6,2,False,True,True,21,3,10,18000,False,3,4,2,2,2,10,28
1,1,False,False,True,8,1,8,18000,False,3,3,1,2,2,17,10
8,2,False,True,True,5,2,9,16000,False,3,2,1,2,2,2,10
