,balconies,bathroom,facing,floor,furnishingDesc,locality,gym,isMaintenance,lift,maintenanceAmount,parking,property_age,property_size,rent_amount,totalFloor,type_bhk,waterSupply,location,lat,long
0,3,3,W,3,Semi,Gachibowli,False,True,True,2000,BOTH,5,2200,28000,5,BHK3,CORP_BORE,"17.465080245131944000,78.340134322090170000",17.465080245131944,78.34013432209017
1,1,2,E,2,Unfurnished,Chandrayangutta,False,False,False,0,TWO_WHEELER,1,1200,15000,2,BHK3,BOREWELL,"17.320233889090165000,78.467765880356640000",17.320233889090165,78.46776588035664
2,3,3,E,0,Semi,Manikonda,True,True,True,1000,BOTH,0,1800,16000,3,BHK3,CORP_BORE,"17.403649100000000000,78.379442099999990000",17.4036491,78.37944209999999
3,1,2,W,2,Unfurnished,LB Nagar,False,True,False,500,BOTH,0,750,9000,2,BHK2,CORP_BORE,"17.344879513537210000,78.543747203913100000",17.34487951353721,78.5437472039131
4,2,2,E,2,Semi,HITEC City,False,True,True,2000,BOTH,5,1250,32500,5,BHK2,CORP_BORE,"17.446462661725686000,78.378910474868770000",17.446462661725686,78.37891047486877
5,3,3,N,5,Semi,Kondapur,True,True,True,2700,BOTH,1,1517,33000,6,BHK3,CORP_BORE,"17.465643700000000000,78.341822400000000000",17.4656437,78.3418224
6,1,2,E,20,Semi,Gachibowli,True,True,True,4800,BOTH,5,1198,29000,24,BHK3,CORP_BORE,"17.423191000000000000,78.340685000000000000",17.423191,78.340685
7,2,2,E,2,Unfurnished,Vignanpuri Colony,False,False,False,0,BOTH,0,1000,9500,3,BHK2,CORPORATION,"17.312725000000000000,78.557010400000000000",17.312725,78.5570104
8,0,3,N,0,Semi,A. S. Rao Nagar,False,True,False,1000,BOTH,5,1800,21000,2,BHK3,BOREWELL,"17.475442049093058000,78.552138505135660000",17.475442049093058,78.55213850513566
9,2,2,SW,5,Unfurnished,Toli Chowki,False,False,True,0,TWO_WHEELER,1,950,14000,6,BHK2,CORP_BORE,"17.397796600000000000,78.405159500000000000",17.3977966,78.4051595
10,1,2,N,2,Semi, Yousufguda,False,True,False,800,BOTH,1,950,14500,4,BHK2,CORP_BORE,"17.438014505102192000,78.425039428442000000",17.438014505102192,78.425039428442
11,1,1,N,1,Unfurnished,Rahmat Nagar,False,True,False,500,TWO_WHEELER,1,900,10500,2,BHK1,CORPORATION,"17.441295869962280000,78.421321108598280000",17.44129586996228,78.42132110859828
12,2,2,W,4,Semi,Miyapur,True,True,True,3000,FOUR_WHEELER,5,1750,20000,13,BHK3,CORP_BORE,"17.504042000000000000,78.364449000000000000",17.504042,78.364449
13,2,3,E,0,Semi,Kompally,False,False,False,0,BOTH,5,2800,30000,1,BHK3,CORP_BORE,"17.529340000000000000,78.486572000000000000",17.52934,78.486572
14,1,1,N,2,Semi,"HUDA Colony, Chanda Nagar",False,False,True,0,TWO_WHEELER,1,700,10000,2,BHK1,CORP_BORE,"17.489572888248485000,78.330087566131600000",17.489572888248485,78.3300875661316
15,2,4,W,3,Full,Gachibowli,True,True,True,5000,TWO_WHEELER,7,3200,50000,5,BHK4,CORP_BORE,"17.429366000000000000,78.370818100000000000",17.429366,78.3708181
16,2,2,E,3,Full,Mehdipatnam,False,False,False,0,BOTH,1,1100,20000,3,BHK2,CORP_BORE,"17.385517000000000000,78.432957199999990000",17.385517,78.43295719999999
17,1,2,N,4,Semi, HITEC City,False,True,True,2000,BOTH,10,1100,21000,5,BHK2,CORP_BORE,"17.456782400000000000,78.372426699999990000",17.4567824,78.37242669999999
18,2,3,N,3,Semi,Manikonda,False,True,True,2100,BOTH,5,1650,23000,5,BHK3,CORP_BORE,"17.410135811963535000,78.384778462565600000",17.410135811963535,78.3847784625656
19,1,2,W,3,Semi,Kukatpally,False,True,False,2000,BOTH,10,1100,18000,3,BHK2,CORP_BORE,"17.494980604777770000,78.394912845230110000",17.49498060477777,78.39491284523011
20,1,2,E,1,Semi,Secunderabad,False,True,False,700,FOUR_WHEELER,10,1800,20000,2,BHK2,CORP_BORE,"17.452457500000000000,78.495509099999990000",17.4524575,78.49550909999999
21,1,2,E,1,Semi,Secunderabad,False,True,False,700,FOUR_WHEELER,10,1800,20000,2,BHK2,CORP_BORE,"17.452457500000000000,78.495509099999990000",17.4524575,78.49550909999999
22,3,3,E,13,Semi,Hafeezpet,True,True,True,5000,BOTH,0,2000,28000,14,BHK3,CORP_BORE,"17.484030500000000000,78.358810499999990000",17.4840305,78.35881049999999
23,2,2,W,1,Semi,Saidabad ,False,True,True,1200,BOTH,5,1500,20000,5,BHK3,CORP_BORE,"17.359242591095942000,78.514172444776960000",17.359242591095942,78.51417244477696
24,2,3,None,1,Semi,Banjara Hills,False,True,False,5000,FOUR_WHEELER,5,1850,40000,3,BHK3,CORP_BORE,"17.421308779437920000,78.437636921040340000",17.42130877943792,78.43763692104034
25,1,2,None,2,Full,Himayath Nagar,False,True,False,1000,TWO_WHEELER,10,1000,19000,4,BHK2,CORP_BORE,"17.402715000000000000,78.480531000000000000",17.402715,78.480531
26,0,2,E,5,Unfurnished,Upperpally,False,True,True,1000,BOTH,0,900,10000,5,BHK2,CORP_BORE,"17.367701159703827000,78.418425750306350000",17.367701159703827,78.41842575030635
27,3,3,E,3,Unfurnished,Shaikpet,False,True,True,500,BOTH,0,1625,16000,3,BHK3,CORP_BORE,"17.407010589866303000,78.391946844791970000",17.407010589866303,78.39194684479197
28,1,2,N,3,Semi,Upparpally Road,False,True,True,1500,FOUR_WHEELER,0,1150,16000,4,BHK2,CORP_BORE,"17.360634300000033000,78.419940435581950000",17.360634300000033,78.41994043558195
29,0,2,N,0,Full,Bandlaguda Jagir,False,True,False,1000,BOTH,1,1400,20000,2,BHK2,CORP_BORE,"17.362644221007837000,78.393296331738280000",17.362644221007837,78.39329633173828
30,2,3,E,1,Full,Banjara Hills,True,True,True,7000,BOTH,10,2800,50000,7,BHK3,CORP_BORE,"17.426053900000000000,78.435238700000000000",17.4260539,78.4352387
31,3,3,N,1,Semi,Kukatpally,False,True,False,3000,BOTH,5,2250,30000,1,BHK3,CORPORATION,"17.492878000000000000,78.402504999999990000",17.492878,78.40250499999999
32,1,2,SW,6,Full,Gajularamaram,True,True,True,2500,BOTH,3,1450,14500,9,BHK2,CORP_BORE,"17.530033000000000000,78.428865600000000000",17.530033,78.4288656
33,2,3,W,1,Semi,Dammaiguda,False,False,False,0,BOTH,5,2000,15000,2,BHK3,CORPORATION,"17.496486600000000000,78.595552099999990000",17.4964866,78.59555209999999
34,1,2,E,3,Unfurnished,Kukatpally,False,True,True,2000,BOTH,5,1040,15000,5,BHK2,CORP_BORE,"17.494359000000000000,78.387429300000000000",17.494359,78.3874293
35,2,3,E,5,Full,Hitec City,False,True,True,2500,BOTH,10,1965,38000,5,BHK3,CORP_BORE,"17.455379400000000000,78.369762900000000000",17.4553794,78.3697629
36,0,5,None,14,Semi,Kokapet,True,True,True,6000,BOTH,0,2630,55000,18,BHK4,None,"17.388023796977812000,78.348831701258060000",17.388023796977812,78.34883170125806
37,1,2,N,5,Semi,Himayatnagar,False,True,True,3000,BOTH,10,950,20000,5,BHK2,CORP_BORE,"17.409338000000000000,78.480827200000000000",17.409338,78.4808272
